27.000000 22.000000 38.000000 22.000000
38.000000 22.000000 40.000000 20.000000
40.000000 20.000000 42.000000 22.000000
42.000000 22.000000 48.000000 22.000000
27.000000 24.000000 38.000000 24.000000
38.000000 24.000000 40.000000 26.000000
40.000000 26.000000 42.000000 24.000000
42.000000 24.000000 48.000000 24.000000
27.000000 22.000000 27.000000 13.000000
27.000000 13.000000 16.000000 13.000000
16.000000 13.000000 16.000000 34.000000
16.000000 34.000000 27.000000 34.000000
27.000000 34.000000 27.000000 24.000000
